name,district,wiki_link
Debbie Wasserman Schultz,Florida 23,/wiki/Debbie_Wasserman_Schultz
Frederica Wilson,Florida 24,/wiki/Frederica_Wilson
Mario Díaz-Balart,Florida 25,/wiki/Mario_D%C3%ADaz-Balart
Carlos Curbelo,Florida 26,/wiki/Carlos_Curbelo_(politician)
Ileana Ros-Lehtinen,Florida 27,/wiki/Ileana_Ros-Lehtinen
Buddy Carter,Georgia 1,/wiki/Buddy_Carter
Sanford Bishop,Georgia 2,/wiki/Sanford_Bishop
Drew Ferguson,Georgia 3,/wiki/Drew_Ferguson_(politician)
Hank Johnson,Georgia 4,/wiki/Hank_Johnson
John Lewis,Georgia 5,/wiki/John_Lewis_(Georgia_politician)
Karen Handel,Georgia 6,/wiki/Karen_Handel
Rob Woodall,Georgia 7,/wiki/Rob_Woodall
Austin Scott,Georgia 8,/wiki/Austin_Scott_(politician)
Doug Collins,Georgia 9,/wiki/Doug_Collins_(politician)
Jody Hice,Georgia 10,/wiki/Jody_Hice
Barry Loudermilk,Georgia 11,/wiki/Barry_Loudermilk
Rick W. Allen,Georgia 12,/wiki/Rick_W._Allen
David Scott,Georgia 13,/wiki/David_Scott_(Georgia_politician)
Tom Graves,Georgia 14,/wiki/Tom_Graves
Colleen Hanabusa,Hawaii 1,/wiki/Colleen_Hanabusa
Tulsi Gabbard,Hawaii 2,/wiki/Tulsi_Gabbard
Raúl Labrador,Idaho 1,/wiki/Ra%C3%BAl_Labrador
Mike Simpson,Idaho 2,/wiki/Mike_Simpson
Bobby Rush,Illinois 1,/wiki/Bobby_Rush
Robin Kelly,Illinois 2,/wiki/Robin_Kelly
Dan Lipinski,Illinois 3,/wiki/Dan_Lipinski
Luis Gutiérrez,Illinois 4,/wiki/Luis_Guti%C3%A9rrez
Mike Quigley,Illinois 5,/wiki/Mike_Quigley_(politician)
Peter Roskam,Illinois 6,/wiki/Peter_Roskam
Danny K. Davis,Illinois 7,/wiki/Danny_K._Davis
Raja Krishnamoorthi,Illinois 8,/wiki/Raja_Krishnamoorthi
Jan Schakowsky,Illinois 9,/wiki/Jan_Schakowsky
Brad Schneider,Illinois 10,/wiki/Brad_Schneider
Bill Foster,Illinois 11,/wiki/Bill_Foster_(politician)
Mike Bost,Illinois 12,/wiki/Mike_Bost
Rodney Davis,Illinois 13,/wiki/Rodney_Davis_(politician)
Randy Hultgren,Illinois 14,/wiki/Randy_Hultgren
John Shimkus,Illinois 15,/wiki/John_Shimkus
Adam Kinzinger,Illinois 16,/wiki/Adam_Kinzinger
Cheri Bustos,Illinois 17,/wiki/Cheri_Bustos
Darin LaHood,Illinois 18,/wiki/Darin_LaHood
Pete Visclosky,Indiana 1,/wiki/Pete_Visclosky
Jackie Walorski,Indiana 2,/wiki/Jackie_Walorski
Jim Banks,Indiana 3,/wiki/Jim_Banks
Todd Rokita,Indiana 4,/wiki/Todd_Rokita
Susan Brooks,Indiana 5,/wiki/Susan_Brooks
Luke Messer,Indiana 6,/wiki/Luke_Messer
André Carson,Indiana 7,/wiki/Andr%C3%A9_Carson
Larry Bucshon,Indiana 8,/wiki/Larry_Bucshon
Trey Hollingsworth,Indiana 9,/wiki/Trey_Hollingsworth
Rod Blum,Iowa 1,/wiki/Rod_Blum
Dave Loebsack,Iowa 2,/wiki/Dave_Loebsack
David Young,Iowa 3,/wiki/David_Young_(Iowa_politician)
Steve King,Iowa 4,/wiki/Steve_King
Roger Marshall,Kansas 1,/wiki/Roger_Marshall_(politician)
Lynn Jenkins,Kansas 2,/wiki/Lynn_Jenkins
Kevin Yoder,Kansas 3,/wiki/Kevin_Yoder
Ron Estes,Kansas 4,/wiki/Ron_Estes
James Comer,Kentucky 1,/wiki/James_Comer_(politician)
Brett Guthrie,Kentucky 2,/wiki/Brett_Guthrie
John Yarmuth,Kentucky 3,/wiki/John_Yarmuth
Thomas Massie,Kentucky 4,/wiki/Thomas_Massie
Hal Rogers,Kentucky 5,/wiki/Hal_Rogers
Andy Barr,Kentucky 6,/wiki/Andy_Barr_(U.S._politician)
Steve Scalise,Louisiana 1,/wiki/Steve_Scalise
Cedric Richmond,Louisiana 2,/wiki/Cedric_Richmond
Clay Higgins,Louisiana 3,/wiki/Clay_Higgins
Mike Johnson,Louisiana 4,/wiki/Mike_Johnson_(Louisiana_politician)
Ralph Abraham,Louisiana 5,/wiki/Ralph_Abraham_(politician)
Garret Graves,Louisiana 6,/wiki/Garret_Graves
Chellie Pingree,Maine 1,/wiki/Chellie_Pingree
Bruce Poliquin,Maine 2,/wiki/Bruce_Poliquin
Andy Harris,Maryland 1,/wiki/Andy_Harris_(politician)
Dutch Ruppersberger,Maryland 2,/wiki/Dutch_Ruppersberger
John Sarbanes,Maryland 3,/wiki/John_Sarbanes
Anthony G. Brown,Maryland 4,/wiki/Anthony_G._Brown
Steny Hoyer,Maryland 5,/wiki/Steny_Hoyer
John Delaney,Maryland 6,/wiki/John_Delaney_(Maryland_politician)
Elijah Cummings,Maryland 7,/wiki/Elijah_Cummings
Jamie Raskin,Maryland 8,/wiki/Jamie_Raskin
Richard Neal,Massachusetts 1,/wiki/Richard_Neal
Jim McGovern,Massachusetts 2,/wiki/Jim_McGovern_(U.S._politician)
Niki Tsongas,Massachusetts 3,/wiki/Niki_Tsongas
Joe Kennedy,Massachusetts 4,/wiki/Joseph_P._Kennedy_III
Katherine Clark,Massachusetts 5,/wiki/Katherine_Clark
Seth Moulton,Massachusetts 6,/wiki/Seth_Moulton
Mike Capuano,Massachusetts 7,/wiki/Mike_Capuano
Stephen F. Lynch,Massachusetts 8,/wiki/Stephen_F._Lynch
Bill Keating,Massachusetts 9,/wiki/Bill_Keating_(politician)
Jack Bergman,Michigan 1,/wiki/Jack_Bergman
Bill Huizenga,Michigan 2,/wiki/Bill_Huizenga
Justin Amash,Michigan 3,/wiki/Justin_Amash
John Moolenaar,Michigan 4,/wiki/John_Moolenaar
Dan Kildee,Michigan 5,/wiki/Dan_Kildee
Fred Upton,Michigan 6,/wiki/Fred_Upton
Tim Walberg,Michigan 7,/wiki/Tim_Walberg
Mike Bishop,Michigan 8,/wiki/Mike_Bishop_(politician)
Sander Levin,Michigan 9,/wiki/Sander_M._Levin
Paul Mitchell,Michigan 10,/wiki/Paul_Mitchell_(politician)
David Trott,Michigan 11,/wiki/David_Trott
Debbie Dingell,Michigan 12,/wiki/Debbie_Dingell
John Conyers,Michigan 13,/wiki/John_Conyers
Brenda Lawrence,Michigan 14,/wiki/Brenda_Lawrence
Tim Walz,Minnesota 1,/wiki/Tim_Walz
Jason Lewis,Minnesota 2,/wiki/Jason_Lewis_(congressman)
Erik Paulsen,Minnesota 3,/wiki/Erik_Paulsen
Betty McCollum,Minnesota 4,/wiki/Betty_McCollum
Keith Ellison,Minnesota 5,/wiki/Keith_Ellison
Tom Emmer,Minnesota 6,/wiki/Tom_Emmer
Collin Peterson,Minnesota 7,/wiki/Collin_Peterson
Rick Nolan,Minnesota 8,/wiki/Rick_Nolan
Trent Kelly,Mississippi 1,/wiki/Trent_Kelly_(politician)
Bennie Thompson,Mississippi 2,/wiki/Bennie_Thompson
Gregg Harper,Mississippi 3,/wiki/Gregg_Harper
Steven Palazzo,Mississippi 4,/wiki/Steven_Palazzo
William Clay,Missouri 1,/wiki/William_Lacy_Clay,_Jr.
Ann Wagner,Missouri 2,/wiki/Ann_Wagner
Blaine Luetkemeyer,Missouri 3,/wiki/Blaine_Luetkemeyer
Vicky Hartzler,Missouri 4,/wiki/Vicky_Hartzler
Emanuel Cleaver,Missouri 5,/wiki/Emanuel_Cleaver
Sam Graves,Missouri 6,/wiki/Sam_Graves
Billy Long,Missouri 7,/wiki/Billy_Long
Jason T. Smith,Missouri 8,/wiki/Jason_T._Smith
Greg Gianforte,Montana At Large,/wiki/Greg_Gianforte
Jeff Fortenberry,Nebraska 1,/wiki/Jeff_Fortenberry
Don Bacon,Nebraska 2,/wiki/Don_Bacon_(general)
Adrian Smith,Nebraska 3,/wiki/Adrian_Smith_(politician)
Dina Titus,Nevada 1,/wiki/Dina_Titus
Mark Amodei,Nevada 2,/wiki/Mark_Amodei
Jacky Rosen,Nevada 3,/wiki/Jacky_Rosen
Ruben Kihuen,Nevada 4,/wiki/Ruben_Kihuen
Carol Shea-Porter,New Hampshire 1,/wiki/Carol_Shea-Porter
Ann McLane Kuster,New Hampshire 2,/wiki/Ann_McLane_Kuster
Donald Norcross,New Jersey 1,/wiki/Donald_Norcross
Frank LoBiondo,New Jersey 2,/wiki/Frank_LoBiondo
Tom MacArthur,New Jersey 3,/wiki/Tom_MacArthur
Chris Smith,New Jersey 4,/wiki/Chris_Smith_(New_Jersey_politician)
Josh Gottheimer,New Jersey 5,/wiki/Josh_Gottheimer
Frank Pallone,New Jersey 6,/wiki/Frank_Pallone
Leonard Lance,New Jersey 7,/wiki/Leonard_Lance
Albio Sires,New Jersey 8,/wiki/Albio_Sires
Bill Pascrell,New Jersey 9,/wiki/Bill_Pascrell
Donald Payne, Jr.,New Jersey 10,/wiki/Donald_Payne,_Jr.
Rodney Frelinghuysen,New Jersey 11,/wiki/Rodney_Frelinghuysen
Bonnie Watson Coleman,New Jersey 12,/wiki/Bonnie_Watson_Coleman
Michelle Lujan Grisham,New Mexico 1,/wiki/Michelle_Lujan_Grisham
Steve Pearce,New Mexico 2,/wiki/Steve_Pearce_(politician)
Ben Luján,New Mexico 3,/wiki/Ben_R._Luj%C3%A1n
Lee Zeldin,New York 1,/wiki/Lee_Zeldin
Peter King,New York 2,/wiki/Peter_T._King
Thomas Suozzi,New York 3,/wiki/Thomas_Suozzi
Kathleen Rice,New York 4,/wiki/Kathleen_Rice
Gregory Meeks,New York 5,/wiki/Gregory_Meeks
Grace Meng,New York 6,/wiki/Grace_Meng
Nydia Velázquez,New York 7,/wiki/Nydia_Vel%C3%A1zquez
Hakeem Jeffries,New York 8,/wiki/Hakeem_Jeffries
Yvette Clarke,New York 9,/wiki/Yvette_Clarke
Jerrold Nadler,New York 10,/wiki/Jerrold_Nadler
Daniel Donovan,New York 11,/wiki/Dan_Donovan_(politician)
Carolyn Maloney,New York 12,/wiki/Carolyn_Maloney
Adriano Espaillat,New York 13,/wiki/Adriano_Espaillat
Joseph Crowley,New York 14,/wiki/Joseph_Crowley
José Serrano,New York 15,/wiki/Jos%C3%A9_E._Serrano
Eliot Engel,New York 16,/wiki/Eliot_Engel
Nita Lowey,New York 17,/wiki/Nita_Lowey
Sean Patrick Maloney,New York 18,/wiki/Sean_Patrick_Maloney
John Faso,New York 19,/wiki/John_Faso
Paul Tonko,New York 20,/wiki/Paul_Tonko
Elise Stefanik,New York 21,/wiki/Elise_Stefanik
Claudia Tenney,New York 22,/wiki/Claudia_Tenney
Tom Reed,New York 23,/wiki/Tom_Reed_(politician)
John Katko,New York 24,/wiki/John_Katko
Louise Slaughter,New York 25,/wiki/Louise_Slaughter
Brian Higgins,New York 26,/wiki/Brian_Higgins
Chris Collins,New York 27,/wiki/Chris_Collins_(American_politician)
G. K. Butterfield,North Carolina 1,/wiki/G._K._Butterfield
George Holding,North Carolina 2,/wiki/George_Holding
Walter Jones,North Carolina 3,/wiki/Walter_B._Jones,_Jr.
David Price,North Carolina 4,/wiki/David_Price_(U.S._politician)
Virginia Foxx,North Carolina 5,/wiki/Virginia_Foxx
Mark Walker,North Carolina 6,/wiki/Mark_Walker_(North_Carolina_politician)
David Rouzer,North Carolina 7,/wiki/David_Rouzer
Richard Hudson,North Carolina 8,/wiki/Richard_Hudson_(U.S._politician)
Robert Pittenger,North Carolina 9,/wiki/Robert_Pittenger
Patrick McHenry,North Carolina 10,/wiki/Patrick_McHenry
Mark Meadows,North Carolina 11,/wiki/Mark_Meadows_(North_Carolina_politician)
Alma Adams,North Carolina 12,/wiki/Alma_Adams
Ted Budd,North Carolina 13,/wiki/Ted_Budd
Kevin Cramer,North Dakota At Large,/wiki/Kevin_Cramer
Steve Chabot,Ohio 1,/wiki/Steve_Chabot
Brad Wenstrup,Ohio 2,/wiki/Brad_Wenstrup
Joyce Beatty,Ohio 3,/wiki/Joyce_Beatty
Jim Jordan,Ohio 4,/wiki/Jim_Jordan_(Ohio_politician)
Bob Latta,Ohio 5,/wiki/Bob_Latta
Bill Johnson,Ohio 6,/wiki/Bill_Johnson_(Ohio_politician)
Bob Gibbs,Ohio 7,/wiki/Bob_Gibbs
Warren Davidson,Ohio 8,/wiki/Warren_Davidson
Marcy Kaptur,Ohio 9,/wiki/Marcy_Kaptur
Mike Turner,Ohio 10,/wiki/Mike_Turner
Marcia Fudge,Ohio 11,/wiki/Marcia_Fudge
Pat Tiberi,Ohio 12,/wiki/Pat_Tiberi
Tim Ryan,Ohio 13,/wiki/Tim_Ryan_(politician)
David Joyce,Ohio 14,/wiki/David_Joyce_(politician)
Steve Stivers,Ohio 15,/wiki/Steve_Stivers
Jim Renacci,Ohio 16,/wiki/Jim_Renacci
Jim Bridenstine,Oklahoma 1,/wiki/Jim_Bridenstine
Markwayne Mullin,Oklahoma 2,/wiki/Markwayne_Mullin
Frank Lucas,Oklahoma 3,/wiki/Frank_Lucas_(Oklahoma)
Tom Cole,Oklahoma 4,/wiki/Tom_Cole
Steve Russell,Oklahoma 5,/wiki/Steve_Russell_(politician)
Suzanne Bonamici,Oregon 1,/wiki/Suzanne_Bonamici
Greg Walden,Oregon 2,/wiki/Greg_Walden
Earl Blumenauer,Oregon 3,/wiki/Earl_Blumenauer
Peter DeFazio,Oregon 4,/wiki/Peter_DeFazio
Kurt Schrader,Oregon 5,/wiki/Kurt_Schrader
Bob Brady,Pennsylvania 1,/wiki/Bob_Brady
Dwight Evans,Pennsylvania 2,/wiki/Dwight_Evans_(politician)
Mike Kelly,Pennsylvania 3,/wiki/Mike_Kelly_(Pennsylvania)
Scott Perry,Pennsylvania 4,/wiki/Scott_Perry_(politician)
Glenn Thompson,Pennsylvania 5,/wiki/Glenn_Thompson_(politician)
Ryan Costello,Pennsylvania 6,/wiki/Ryan_Costello
Pat Meehan,Pennsylvania 7,/wiki/Pat_Meehan
Brian Fitzpatrick,Pennsylvania 8,/wiki/Brian_Fitzpatrick_(American_politician)
Bill Shuster,Pennsylvania 9,/wiki/Bill_Shuster
Tom Marino,Pennsylvania 10,/wiki/Tom_Marino
Lou Barletta,Pennsylvania 11,/wiki/Lou_Barletta
Keith Rothfus,Pennsylvania 12,/wiki/Keith_Rothfus
Brendan F. Boyle,Pennsylvania 13,/wiki/Brendan_F._Boyle
Michael Doyle,Pennsylvania 14,/wiki/Michael_F._Doyle
Charlie Dent,Pennsylvania 15,/wiki/Charlie_Dent
Lloyd Smucker,Pennsylvania 16,/wiki/Lloyd_Smucker
Matt Cartwright,Pennsylvania 17,/wiki/Matt_Cartwright
Timothy F. Murphy,Pennsylvania 18,/wiki/Timothy_F._Murphy
David Cicilline,Rhode Island 1,/wiki/David_Cicilline
Jim Langevin,Rhode Island 2,/wiki/James_Langevin
Mark Sanford,South Carolina 1,/wiki/Mark_Sanford
Joe Wilson,South Carolina 2,/wiki/Joe_Wilson_(U.S._politician)
Jeff Duncan,South Carolina 3,/wiki/Jeff_Duncan_(politician)
Trey Gowdy,South Carolina 4,/wiki/Trey_Gowdy
Ralph Norman,South Carolina 5,/wiki/Ralph_Norman
Jim Clyburn,South Carolina 6,/wiki/Jim_Clyburn
Tom Rice,South Carolina 7,/wiki/Tom_Rice
Kristi Noem,South Dakota At Large,/wiki/Kristi_Noem
Phil Roe,Tennessee 1,/wiki/Phil_Roe_(politician)
Jimmy Duncan,Tennessee 2,/wiki/Jimmy_Duncan_(U.S._politician)
Chuck Fleischmann,Tennessee 3,/wiki/Chuck_Fleischmann
Scott DesJarlais,Tennessee 4,/wiki/Scott_DesJarlais
Jim Cooper,Tennessee 5,/wiki/Jim_Cooper
Diane Black,Tennessee 6,/wiki/Diane_Black
Marsha Blackburn,Tennessee 7,/wiki/Marsha_Blackburn
David Kustoff,Tennessee 8,/wiki/David_Kustoff
Steve Cohen,Tennessee 9,/wiki/Steve_Cohen
Louie Gohmert,Texas 1,/wiki/Louie_Gohmert
Ted Poe,Texas 2,/wiki/Ted_Poe
Sam Johnson,Texas 3,/wiki/Sam_Johnson
John Ratcliffe,Texas 4,/wiki/John_Ratcliffe_(American_politician)
Jeb Hensarling,Texas 5,/wiki/Jeb_Hensarling
Joe Barton,Texas 6,/wiki/Joe_Barton
John Culberson,Texas 7,/wiki/John_Culberson
Kevin Brady,Texas 8,/wiki/Kevin_Brady
Al Green,Texas 9,/wiki/Al_Green_(politician)
Michael McCaul,Texas 10,/wiki/Michael_McCaul
Mike Conaway,Texas 11,/wiki/Mike_Conaway
Kay Granger,Texas 12,/wiki/Kay_Granger
Mac Thornberry,Texas 13,/wiki/Mac_Thornberry
Randy Weber,Texas 14,/wiki/Randy_Weber
Vicente González,Texas 15,/wiki/Vicente_Gonz%C3%A1lez_(politician)
Beto O'Rourke,Texas 16,/wiki/Beto_O%27Rourke
Bill Flores,Texas 17,/wiki/Bill_Flores
Sheila Jackson Lee,Texas 18,/wiki/Sheila_Jackson_Lee
Jodey Arrington,Texas 19,/wiki/Jodey_Arrington
Joaquín Castro,Texas 20,/wiki/Joaqu%C3%ADn_Castro
Lamar S. Smith,Texas 21,/wiki/Lamar_S._Smith
Pete Olson,Texas 22,/wiki/Pete_Olson
Will Hurd,Texas 23,/wiki/Will_Hurd
Kenny Marchant,Texas 24,/wiki/Kenny_Marchant
Roger Williams,Texas 25,/wiki/Roger_Williams_(U.S._politician)
Michael Burgess,Texas 26,/wiki/Michael_C._Burgess
Blake Farenthold,Texas 27,/wiki/Blake_Farenthold
Henry Cuellar,Texas 28,/wiki/Henry_Cuellar
Gene Green,Texas 29,/wiki/Gene_Green
Eddie Johnson,Texas 30,/wiki/Eddie_Bernice_Johnson
John Carter,Texas 31,/wiki/John_Carter_(Texas)
Pete Sessions,Texas 32,/wiki/Pete_Sessions
Marc Veasey,Texas 33,/wiki/Marc_Veasey
Filemon Vela, Jr.,Texas 34,/wiki/Filemon_Vela,_Jr.
Lloyd Doggett,Texas 35,/wiki/Lloyd_Doggett
Brian Babin,Texas 36,/wiki/Brian_Babin
Rob Bishop,Utah 1,/wiki/Rob_Bishop
Chris Stewart,Utah 2,/wiki/Chris_Stewart_(politician)
Jason Chaffetz,Utah 3,/wiki/Jason_Chaffetz
Mia Love,Utah 4,/wiki/Mia_Love
Peter Welch,Vermont At Large,/wiki/Peter_Welch
Rob Wittman,Virginia 1,/wiki/Rob_Wittman
Scott Taylor,Virginia 2,/wiki/Scott_Taylor_(politician)
Robert Scott,Virginia 3,/wiki/Bobby_Scott_(U.S._politician)
Donald McEachin,Virginia 4,/wiki/Donald_McEachin
Thomas Garrett, Jr.,Virginia 5,/wiki/Thomas_Garrett,_Jr.
Bob Goodlatte,Virginia 6,/wiki/Bob_Goodlatte
Dave Brat,Virginia 7,/wiki/Dave_Brat
Don Beyer,Virginia 8,/wiki/Don_Beyer
Morgan Griffith,Virginia 9,/wiki/Morgan_Griffith
Barbara Comstock,Virginia 10,/wiki/Barbara_Comstock
Gerry Connolly,Virginia 11,/wiki/Gerry_Connolly
Suzan DelBene,Washington 1,/wiki/Suzan_DelBene
Rick Larsen,Washington 2,/wiki/Rick_Larsen
Jaime Herrera Beutler,Washington 3,/wiki/Jaime_Herrera_Beutler
Dan Newhouse,Washington 4,/wiki/Dan_Newhouse
Cathy McMorris Rodgers,Washington 5,/wiki/Cathy_McMorris_Rodgers
Derek Kilmer,Washington 6,/wiki/Derek_Kilmer
Pramila Jayapal,Washington 7,/wiki/Pramila_Jayapal
Dave Reichert,Washington 8,/wiki/Dave_Reichert
Adam Smith,Washington 9,/wiki/Adam_Smith_(politician)
Dennis Heck,Washington 10,/wiki/Dennis_Heck
David McKinley,West Virginia 1,/wiki/David_McKinley
Alex Mooney,West Virginia 2,/wiki/Alex_Mooney
Evan Jenkins,West Virginia 3,/wiki/Evan_Jenkins_(politician)
Paul Ryan,Wisconsin 1,/wiki/Paul_Ryan
Mark Pocan,Wisconsin 2,/wiki/Mark_Pocan
Ron Kind,Wisconsin 3,/wiki/Ron_Kind
Gwen Moore,Wisconsin 4,/wiki/Gwen_Moore
Jim Sensenbrenner,Wisconsin 5,/wiki/Jim_Sensenbrenner
Glenn Grothman,Wisconsin 6,/wiki/Glenn_Grothman
Sean Duffy,Wisconsin 7,/wiki/Sean_Duffy
Mike Gallagher,Wisconsin 8,/wiki/Mike_Gallagher_(American_politician)
Liz Cheney,Wyoming At Large,/wiki/Liz_Cheney
